track,cSDR_vocals,cSDR_drums,cSDR_bass,cSDR_other,cSDR_mean,uSDR_vocals,uSDR_drums,uSDR_bass,uSDR_other
Forkupines - Semantics,-6.608137477302659,-0.09743015654984,-9.883155839593979,-5.414856368758985,-5.500894960551365,-8.532744837157457,0.8699642265707918,-9.381678305531187,-5.397073294235941
Georgia Wonder - Siren,-3.910996383345933,-4.109161165327871,-6.2171535155703825,-4.746836608275379,-4.746036918129891,-6.783721210531955,-4.171729553371932,-4.133131070373718,-4.110914290891767
Girls Under Glass - We Feel Alright,-8.475387518771024,-2.721355134079322,-4.786404229320812,-4.522748698288957,-5.126473895115029,-10.97495058629953,-2.101968577457721,-4.119248202856575,-4.333323429329782
Hollow Ground - Ill Fate,-8.822624683315654,-6.9837980371916935,-5.3532992588262935,-0.4242802534599475,-5.396000558198397,-11.207793101824251,-7.917643366373879,-6.24107686543934,1.742620604077344
James Elder & Mark M Thompson - The English Actor,-4.080809425398511,-7.744602089106552,-9.795325352737683,-1.0820222464698817,-5.675689778428158,-3.2415633893436184,-6.069844501859737,-9.75338054932823,-2.0166191744049007
Juliet's Rescue - Heartbeats,-6.523754543787005,0.0488221339500209,-13.108817196137874,-4.7933233454858755,-6.094268237865183,-7.364298927710813,-0.38478435845777215,-10.579983819500463,-3.9608751865993197
Little Chicago's Finest - My Own,-6.2891597503006755,3.6295032900828494,-12.423206037156483,-12.994240541366565,-7.019275759685218,-6.106829568243018,3.6776565527840055,-12.648375613681997,-12.624916297004532
Louis Cressy Band - Good Time,-4.581345465619731,-3.6376963806122515,-8.71267954010267,-3.2142833653134826,-5.036501187912034,-7.716664123392652,-3.206582811110793,-8.48312954431752,-1.6329172862939878
Lyndsey Ollard - Catching Up,-1.519848105922263,-7.945261847859429,-10.440270589002418,-4.733856577991783,-6.159809280193973,0.24317759893655697,-7.055475961373241,-9.045170275016385,-5.787373494217988
M.E.R.C. Music - Knockout,-2.3058379487481773,-5.691609022138914,-8.221441571828008,-4.683200266762425,-5.2255222023693815,-1.7114997833283616,-4.394911147131856,-9.255671756088995,-5.388745774122575
Moosmusic - Big Dummy Shake,-5.585295491786253,-2.0653954121963403,-6.946285984014404,-7.324976798238458,-5.480488421558864,-5.4798487705386645,-1.444327605401248,-7.469650338609023,-5.764316088706156
Motor Tapes - Shore,-7.652633743284609,-12.18939529346966,-7.901903070755409,1.7882042851097766,-6.488931955599975,-3.8489533640266727,-12.051066909149629,-7.9456834811291435,0.26468045914399846
Mu - Too Bright,-5.372483655286915,-0.18685735361999983,-8.601107700547452,-7.107314249750317,-5.316940739801171,-5.376333584516989,0.5300857202951408,-12.932161699534985,-6.100249878290476
Nerve 9 - Pray For The Rain,-3.3597888205616995,-7.509035507164592,-6.637301376944995,-3.533389998931364,-5.2598789259006615,-4.025543302100064,-7.166563304140019,-6.967329648614678,-2.0248371341725075
PR - Happy Daze,-61.61869330668499,8.781631918549241,-9.639343468349495,-14.502912905784756,-19.2448294405675,-25.78792667825594,8.428216504303078,-10.442676372553716,-13.892352883121042
PR - Oh No,-34.2844347182303,3.1792032395637913,-4.913828294786666,-7.744346495776757,-10.940851567307483,-17.06334152738985,2.00813760244062,-2.9938765428772833,-8.260323983759433
Punkdisco - Oral Hygiene,-11.443785774725747,-1.8508239945521514,-1.4793765927835476,-15.643110361409388,-7.604274180867709,-11.54237548783507,-1.32409068260829,-0.4746693171596037,-14.180996705894025
Raft Monk - Tiring,-6.71374962164297,-6.18751266767256,-4.0683795197382,-3.909020883690335,-5.219665673186016,-6.5175822623231605,-5.277471956623419,-3.891850544134125,-3.707578621733822
Sambasevam Shanmugam - Kaathaadi,-2.8945871611846377,-9.02029718978769,-1.2466439990672795,-11.018643602872952,-6.04504298822814,-3.0308897875473706,-9.535952038619795,-3.101438060436948,-4.9524821336263685
Secretariat - Borderline,-4.518266832848923,-9.71789767809443,-8.43004613121378,-0.3431257725892523,-5.7523341036865965,-5.384967642335773,-9.631029300328272,-8.39717060431889,0.9116069585374321
Secretariat - Over The Top,-6.344235213341412,-5.910726064048374,-1.521523517441131,-5.056010104848344,-4.708123724919815,-8.618094104229181,-5.530975093000849,-1.5210482875835236,-4.820602489932047
Side Effects Project - Sing With Me,-1.5089880802389817,-0.7003884627924871,-9.993601704533301,-18.84599817695034,-7.762244106128778,-1.8151221813751994,-0.25611350550279766,-10.233156349110399,-14.815710238340287
Signe Jakobsen - What Have You Done To Me,-2.677652235880224,-8.657584312224879,-9.41287487206927,-2.446842799799875,-5.798738554993562,-2.4998962095816344,-8.409833513286713,-8.673006506714456,-1.826924561013026
Skelpolu - Resurrection,-7.687651874960546,-5.5330282071137,-0.07977718912235826,-7.943014005640926,-5.310867819209383,-14.509567400439634,-5.39473737411023,1.8878076741100422,-8.223403657399444
Speak Softly - Broken Man,-10.513722589542636,-7.055001239391828,-0.21377536372997877,-3.793501231902325,-5.394000106141693,-9.499017552022385,-6.54865128751673,-1.2436911706774538,-3.9100265369929237
Speak Softly - Like Horses,-5.489346105821685,-11.3718436341453,-1.181443022350217,-4.885010504756069,-5.731910816768318,-3.4273094207606514,-9.59804458729815,-3.988042352202064,-3.669771465007092
The Doppler Shift - Atrophy,-6.534825917304171,-2.6179467507616754,-10.956186188249777,-3.820865396465318,-5.982456063195236,-5.734579473424769,-1.4542407349046351,-10.333387006771165,-3.9917481903473724
The Easton Ellises (Baumi) - SDRNR,-4.445389278881077,-3.0689617262389945,-6.633771731903577,-5.592741335939625,-4.935216018240818,-4.024824797862046,-3.1259623004254222,-6.50993011058516,-5.814928647077545
The Easton Ellises - Falcon 69,-5.3935919646483015,-3.006903180140096,-5.823442641195023,-5.256450969152475,-4.870097188783974,-5.715492168542255,-2.8972808509599792,-5.613573816329004,-5.104977478912663
The Long Wait - Dark Horses,-5.021274563756758,-7.112111044948981,-3.905121330283638,-3.6298901817776,-4.917099280191745,-5.901369026600928,-7.1375772661997425,-3.605420869037596,-3.075273380110475
The Mountaineering Club - Mallory,-6.296490674481552,-6.236255801813149,-1.3865196047824815,-8.732449658306479,-5.662928934845915,-8.27723802004097,-4.419739970647264,-1.5065858166732826,-6.231122218620932
The Sunshine Garcia Band - For I Am The Moon,-3.880799379306553,-2.9065923466342003,-3.564864820222274,-13.538453979567691,-5.9726776314326795,-3.9425718243719516,-2.4882260818146325,-3.5860162344536137,-12.840086845220975
Timboz - Pony,-10.472111686372882,-6.391340046722883,-11.468077606648034,2.795751074225748,-6.383944566379513,-9.611626776305432,-6.1906871727785004,-11.666490882142346,2.547198540672007
Tom McKenzie - Directions,-9.052276632245372,0.6152454090372752,-4.862503943522541,-9.423992607513247,-5.680881943560971,-8.636935380327465,0.5249774305333245,-5.521402582879275,-8.044369630858906
Triviul feat. The Fiend - Widow,-1.565465935113135,-7.607948320547432,-3.5420202938095278,-8.772332607430494,-5.371941789225147,-1.3874841108440814,-7.519411834193759,-3.553606808782514,-8.614189216115852
We Fell From The Sky - Not You,-7.957868495181492,-1.343926190120076,-12.855260559658594,-2.0897763129681444,-6.061707889482077,-10.106968122220136,-1.0896345396304474,-12.431691711179372,-1.4388410035783998
Zeno - Signs,-4.727258242316479,-4.302967050357717,-10.214442551329517,-2.1521041149105686,-5.349192989728571,-4.241248297099336,-4.885247191328527,-10.054637635436803,-1.8555730152516747
