track,cSDR,vocals_rel_dB,cSDR_vocals,drums_rel_dB,cSDR_drums,bass_rel_dB,cSDR_bass,other_rel_dB,cSDR_other
Moosmusic - Big Dummy Shake,10.049804779956828,-6.5602884,10.943384449665675,-3.8015127,12.970934037089066,-8.192966,9.133019165781102,-6.7801743,7.151881467291469
Motor Tapes - Shore,9.721537302435255,-5.3700404,5.832975832631858,-12.284917,9.394802385908813,-8.56726,12.171169449424756,-2.9039536,11.487201541775606
Mu - Too Bright,11.741518529168186,-6.480345,11.471517922243777,-2.7555764,15.610831037456563,-13.142168,11.98411525441767,-7.0530705,7.8996099025547295
Nerve 9 - Pray For The Rain,9.120098503343725,-5.4883456,7.187111138071138,-7.9296246,12.972865916001876,-7.776269,8.640648442993426,-4.1684914,7.679768516308451
PR - Happy Daze,6.768194370826694,-25.801104,-10.464127652676474,-0.61755884,22.13054457998147,-10.85585,7.542048939880214,-14.066915,7.864311616121565
PR - Oh No,1.857203411484624,-17.103245,-0.0112661851491015,-0.5975034,6.703993775087227,-4.690542,0.0118277359604754,-8.5526285,0.7242583200398958
Punkdisco - Oral Hygiene,5.150565067232489,-11.83795,9.35836757357248,-3.751246,6.030155655563437,-3.2861333,3.9065523410955167,-14.342374,1.3071846986985256
Raft Monk - Tiring,7.401669099128334,-7.393293,5.619294943035861,-6.409211,9.109278870480436,-5.381936,9.673418126139516,-5.246744,5.204684456857519
Sambasevam Shanmugam - Kaathaadi,11.292170378565256,-4.791948,13.832893142286158,-9.963759,10.443305990869977,-4.8059382,13.8344316932511,-6.161455,7.058050687853795
Secretariat - Borderline,7.076330049402555,-6.4884953,6.943663976437774,-10.0829525,6.78204595385502,-8.962232,6.288793396860033,-2.5476155,8.290816870457396
Secretariat - Over The Top,8.787535372071616,-9.175213,8.850947620309388,-6.600589,8.509005278014945,-3.8367047,10.976248032407405,-6.052292,6.813940557554734
Side Effects Project - Sing With Me,11.84270149459362,-4.014958,14.0579057079164,-3.1216135,15.804845122812983,-10.614847,15.2189099809529,-14.959999,2.2891451666922005
Signe Jakobsen - What Have You Done To Me,6.737171523090689,-4.4413147,10.823339592103112,-8.989332,5.369533468146711,-9.211765,3.80549395689406,-4.0106897,6.9503190752188715
Skelpolu - Resurrection,7.391203571117871,-14.665529,1.7796832400023388,-6.4972754,11.128169018193498,-2.2162607,13.848853603674913,-8.886179,2.8081084226007365
Speak Softly - Broken Man,11.102534664788976,-9.955309,5.31915788656204,-7.416384,10.584825049877516,-3.6843512,18.532708767288995,-5.40069,9.973446955427356
Speak Softly - Like Horses,11.534899428899957,-5.050297,7.632179399503945,-10.068654,7.484105297722285,-5.471151,22.297302005538207,-5.227751,8.72601101283539
The Doppler Shift - Atrophy,6.409409792011743,-6.764285,7.432113734204081,-3.8049202,8.790553101588726,-10.737011,0.6516967523994386,-5.455485,8.76327557985473
The Easton Ellises (Baumi) - SDRNR,6.192972051335733,-5.4608154,3.791510366247665,-4.8493032,11.22514422115632,-7.381311,6.0078995320673885,-6.8200893,3.747334085871561
The Easton Ellises - Falcon 69,7.202968710057927,-6.7423816,5.014496041563243,-4.693018,10.471047870807622,-6.6580477,9.214079143338791,-6.2592216,4.112251784522052
The Long Wait - Dark Horses,9.066315316244992,-6.889171,9.135429943172166,-7.8983903,8.91807921453742,-5.185487,10.62092712210527,-4.8284836,7.590824985165111
The Mountaineering Club - Mallory,10.37073530207277,-8.876781,11.07482806731724,-5.7558293,12.362536892235465,-3.8213348,12.103626264730424,-7.1476226,5.941949984007952
The Sunshine Garcia Band - For I Am The Moon,9.19814003034706,-5.415368,10.894796683018384,-4.4123797,10.908458722878466,-5.1442957,12.384102017797318,-13.055056,2.605202697694069
Timboz - Pony,5.609014571413813,-10.060687,4.714887452799,-7.1263666,5.334039856890431,-11.96879,3.338343116199231,-1.9267441,9.04878785976659
Tom McKenzie - Directions,7.771017885111728,-9.200288,9.01642874543922,-2.7516568,15.564678921529502,-6.5493007,4.803716928159357,-8.644486,1.699246945318835
Triviul feat. The Fiend - Widow,9.759213660169031,-3.7649899,10.081748645543156,-8.242543,8.475746164912996,-5.1509337,15.552165596893326,-9.174133,4.927194233326643
We Fell From The Sky - Not You,8.141761186683365,-10.512938,6.6700501153924066,-3.605617,12.303730962613336,-12.683164,5.211861183229351,-3.7971232,8.381402485498365
Zeno - Signs,7.530487573352646,-5.631159,8.357174688298205,-6.099471,10.055639092440884,-10.438108,4.274308265502029,-4.0140247,7.434828247169465
